symbols
EURUSD
USDJPY
GBPUSD
SPX500
NDX100
US30
XAUUSD
XAGUSD
USOUSD
BTCUSD
GBPJPY
GER30
JP225
ETHUSD
USDCAD
DOGUSD
ADAUSD
XRPUSD
LTCUSD
XMRUSD
