symbol
NVDA
MSFT
AAPL
AMZN
META
AVGO
GOOGL
GOOG
BRK-B
TSLA
JPM
WMT
LLY
V
ORCL
MA
NFLX
XOM
COST
JNJ
UNH
PG
HD
ABBV
BAC
KO
CSCO
CRM
GE
PLTR
PFE
MCD
MRK
INTC
TMO
NKE
PEP
TXN
ADBE
VZ
CVX
CMCSA
HON
ACN
LIN
AMGN
DHR
UPS
PM
LOW
